account,d1,d2,d3,d4,d5,d6,d7,d8,d9
4401,50,26,20,17,12,11,9,8,7
11364,50,26,20,16,14,9,10,8,7
6430,45,29,20,16,14,11,9,8,8
1604,45,31,21,16,13,10,9,8,7
2230,48,28,20,16,13,10,9,8,8
712086,46,27,20,17,14,11,9,8,8
6994,46,29,21,15,13,11,10,8,7
3566,47,28,20,17,12,10,9,9,8
95080,50,26,18,16,13,11,10,8,8
11332,46,29,20,16,13,11,10,8,7
902698,49,30,20,16,13,10,9,7,6
1055,50,28,19,17,12,11,9,7,7
492354,49,27,19,16,13,11,10,8,7
72050,48,29,19,15,14,11,9,8,7
398896,50,29,21,14,12,10,9,8,7
2401,45,28,22,16,13,10,10,9,7
18168,49,26,19,17,13,10,9,9,8
54930,50,29,19,16,12,10,9,8,7
5223,48,27,22,16,12,10,10,8,7
18375,45,30,21,15,13,10,10,8,8
30483,51,28,19,14,12,12,9,8,7
784027,45,30,18,17,13,11,10,9,7
633463,45,26,22,17,14,10,9,9,8
465567,46,29,22,16,12,10,10,8,7
44959,50,29,19,16,13,9,9,8,7
4362,47,30,20,17,12,10,9,8,7
3218,48,26,22,17,12,10,9,9,7
79659,47,29,19,15,13,12,9,9,7
527144,45,31,18,16,13,12,10,8,7
383355,47,29,19,14,14,11,9,9,8
9192,48,29,19,14,13,12,9,9,7
7131,52,26,18,16,13,10,10,8,7
949552,46,27,21,17,12,11,10,9,7
57422,50,29,18,16,12,10,9,8,8
77292,48,29,20,15,13,10,9,8,8
68038,49,29,21,15,14,10,8,7,7
1405,48,29,19,15,13,11,9,8,8
2584,45,26,22,17,13,11,10,9,7
716307,50,29,21,15,11,10,9,8,7
98131,50,28,21,15,11,10,10,8,7
527540,48,30,21,14,11,12,9,8,7
68327,47,30,20,16,13,11,8,8,7
18888,50,27,19,15,13,11,9,8,8
54766,47,29,20,14,14,11,10,8,7
298824,46,29,20,16,12,11,10,8,8
6988,48,26,19,15,13,12,10,9,8
310107,48,28,20,16,12,10,10,9,7
837933,45,29,20,15,13,12,10,9,7
8573,49,25,20,16,13,10,10,9,8
4141,47,25,22,16,14,11,9,8,8
67930,48,29,20,16,12,10,10,7,8
605106,46,27,21,17,13,10,10,8,8
751849,45,30,22,14,12,12,10,7,8
7978,51,28,18,14,12,11,10,8,8
5607,50,27,19,16,13,10,8,9,8
3933,49,28,18,15,13,11,9,9,8
5115,47,27,21,17,13,11,9,8,7
64458,47,28,19,17,14,10,9,9,7
56346,45,29,19,16,14,11,10,8,8
202381,46,27,22,17,13,10,9,9,7
251166,51,25,21,16,13,10,9,8,7
154659,46,27,21,16,14,10,10,9,7
4034,51,28,19,16,12,10,9,8,7
39960,47,30,21,16,12,10,9,8,7
94316,52,28,19,16,11,10,9,8,7
402869,49,28,21,15,13,11,9,7,7
679586,49,27,20,15,12,12,9,8,8
17739,49,29,21,16,12,11,9,7,6
55577,49,28,19,15,14,11,9,8,7
88153,50,27,19,15,13,11,9,8,8
92532,49,26,19,15,13,11,10,9,8
573282,48,28,21,14,12,12,9,9,7
51957,46,26,20,15,14,12,10,9,8
7490,46,31,20,14,13,11,9,8,8
6567,51,29,19,14,11,11,10,8,7
49896,47,29,21,16,12,11,9,8,7
10509,45,31,19,16,13,11,9,9,7
73635,51,29,20,15,12,9,10,7,7
761670,50,28,21,16,12,11,8,7,7
255421,45,28,21,17,13,11,10,8,7
40589,49,29,21,14,12,10,9,8,8
78027,46,30,19,16,13,11,9,9,7
614239,50,28,20,16,11,11,9,8,7
18300,50,26,21,16,13,10,9,8,7
8450,49,27,22,15,12,11,8,9,7
8636,50,30,19,15,12,11,8,8,7
1867,47,28,20,16,13,10,10,9,7
8125,46,30,22,16,12,10,9,8,7
8388,47,27,21,17,13,11,9,8,7
482792,49,27,21,16,12,10,9,8,8
13579,45,29,21,15,13,12,9,8,8
5393,49,27,19,16,13,11,9,8,8
299577,48,28,22,15,12,11,9,8,7
14889,52,27,19,17,11,10,9,8,7
1043,46,28,21,16,12,11,10,8,8
642780,45,28,21,15,13,11,10,9,8
30063,44,30,20,17,13,11,10,8,7
94328,47,31,20,15,12,10,10,8,7
4440,50,27,20,15,12,12,9,8,7
874077,48,27,20,16,13,11,10,8,7
3019,50,29,19,15,12,11,9,8,7
74742,46,31,22,14,12,10,9,8,8
978798,47,28,22,16,11,11,9,8,8
481687,51,26,22,14,12,10,9,9,7
4407,51,28,18,16,12,10,10,8,7
98120,47,30,20,16,14,10,9,7,7
216380,49,29,18,17,12,11,9,7,8
2901,49,28,20,16,12,10,10,8,7
877836,45,31,19,16,11,11,10,9,8
101791,50,28,19,15,12,11,10,8,7
6042,47,27,20,17,13,12,9,8,7
50154,50,27,19,16,13,10,10,8,7
8786,52,28,18,14,12,11,9,8,8
43260,47,30,21,14,13,10,10,8,7
85983,50,28,20,15,12,10,10,8,7
7957,52,27,21,14,11,11,9,8,7
644645,46,27,19,16,14,11,10,9,8
6673,48,27,21,16,13,10,9,8,8
56186,47,29,19,15,13,11,10,9,7
205978,46,27,22,15,13,12,10,8,7
2909,51,26,21,16,13,10,9,7,7
1365,45,30,21,15,12,11,10,8,8
820200,50,29,19,16,12,10,9,8,7
57903,50,28,20,16,12,11,8,8,7
154146,49,26,20,15,13,11,10,8,8
186806,49,28,21,14,13,11,9,8,7
351921,47,30,19,17,12,11,9,8,7
651341,49,27,20,17,13,10,9,8,7
45318,45,30,20,16,13,11,9,8,8
76765,50,29,21,15,11,9,9,8,8
1545,45,32,19,17,13,10,9,8,7
6352,48,27,20,17,12,11,9,9,7
7860,51,26,19,17,12,10,9,8,8
143667,50,26,21,16,11,11,10,8,7
44690,49,28,21,15,12,11,9,8,7
73965,51,26,20,14,14,10,10,8,7
72339,50,26,21,15,12,10,10,8,8
945485,49,28,19,15,13,11,10,8,7
66265,52,25,18,15,13,11,10,8,8
78155,46,30,20,17,12,11,9,8,7
2919,51,25,20,15,13,11,10,8,7
178588,50,27,19,16,14,10,10,7,7
836203,49,29,18,15,13,11,9,9,7
2133,47,28,20,17,12,11,9,8,8
8220,45,28,22,14,14,12,9,8,8
11257,50,27,19,14,13,11,9,9,8
696825,51,26,21,15,13,11,8,8,7
9904,46,29,20,16,12,12,9,9,7
93745,50,28,19,15,12,11,9,9,7
2824,52,25,21,16,13,9,9,8,7
17272,47,30,19,16,12,12,8,9,7
1246,48,30,19,15,12,11,10,8,7
9817,46,28,21,16,14,11,9,8,7
646004,48,28,21,16,12,10,10,8,7
273444,51,27,21,15,12,11,9,7,7
163275,50,29,20,14,12,10,9,9,7
2024,46,28,19,17,13,11,10,9,7
58405,46,29,21,17,12,11,9,8,7
5001,46,27,20,17,14,10,9,9,8
159955,50,26,21,14,12,11,10,8,8
7191,49,29,19,16,12,10,10,7,8
4271,46,30,18,16,12,11,10,9,8
9317,47,30,19,16,13,10,10,8,7
3086,48,28,22,16,11,10,8,9,8
9698,46,28,19,17,13,11,10,9,7
452766,52,26,19,15,13,11,9,8,7
23442,45,30,21,16,14,10,9,8,7
67868,48,30,20,15,11,10,10,9,7
53360,46,30,21,14,13,11,10,8,7
9185,44,31,21,15,14,11,9,8,7
4197,46,30,20,15,14,10,10,8,7
4702,47,27,19,16,14,11,10,9,7
98567,51,26,19,15,12,11,9,9,8
87910,49,26,21,15,13,11,10,8,7
92597,51,27,19,15,13,10,10,8,7
780895,45,26,22,17,13,11,10,9,7
293887,50,26,20,17,11,11,9,9,7
599969,50,25,22,17,12,11,9,7,7
6965,46,27,20,16,14,12,9,9,7
200379,46,27,21,17,13,11,9,9,7
8206,48,29,19,16,12,11,9,8,8
